Product ID,Product Name,Launch Date,Budget (USD),Actual Cost (USD),Key Features,Customer Feedback Score,Market Performance
PDD0026,Product 26,2019-06-30,180523,198575.32382962623,Feature 7,1.5,High
PDD0027,Product 27,2019-07-07,52747,58021.643228096524,Feature 8,3.9,Medium
PDD0028,Product 28,2019-07-14,173855,191240.47784779037,Feature 9,2.3,Low
PDD0029,Product 29,2019-07-21,115725,127297.41713419638,Feature 10,5.0,High
PDD0030,Product 30,2019-07-28,179981,197979.19216347183,Feature 1,4.9,High
PDD0031,Product 31,2019-08-04,134654,148119.40636332406,Feature 2,3.6,Medium
PDD0032,Product 32,2019-08-11,169346,186280.6951514063,Feature 3,1.5,High
PDD0033,Product 33,2019-08-18,117435,129178.62222033464,Feature 4,3.7,Medium
PDD0034,Product 34,2019-08-25,106886,117574.3825676436,Feature 5,1.4,High
PDD0035,Product 35,2019-09-01,116803,128483.22294777894,Feature 6,1.1,High
PDD0036,Product 36,2019-09-08,81551,89706.03759707064,Feature 7,4.3,Medium
PDD0037,Product 37,2019-09-15,166216,182837.857137236,Feature 8,1.8,High
PDD0038,Product 38,2019-09-22,61394,67533.41490053669,Feature 9,2.5,Low
PDD0039,Product 39,2019-09-29,119092,131001.28125605965,Feature 10,4.9,High
PDD0040,Product 40,2019-10-06,53890,59278.81193082308,Feature 1,2.3,Low
PDD0041,Product 41,2019-10-13,91606,100766.61432154526,Feature 2,2.2,Low
PDD0042,Product 42,2019-10-20,137313,151044.39782929822,Feature 3,4.7,High
PDD0043,Product 43,2019-10-27,191699,210868.98619650854,Feature 4,1.4,High
PDD0044,Product 44,2019-11-03,58792,64671.262339943896,Feature 5,4.0,Medium
PDD0045,Product 45,2019-11-10,118148,129962.80130005066,Feature 6,5.0,High
PDD0046,Product 46,2019-11-17,174243,191667.3061568621,Feature 7,4.6,High
PDD0047,Product 47,2019-11-24,170174,187191.23067338255,Feature 8,3.6,Medium
PDD0048,Product 48,2019-12-01,174358,191793.7099467115,Feature 9,2.3,Low
PDD0049,Product 49,2019-12-08,98555,108410.52309439566,Feature 10,2.0,High
PDD0050,Product 50,2019-12-15,67159,73874.82840241931,Feature 1,4.3,Medium
PDD0051,Product 51,2019-12-22,160510,176561.06888382472,Feature 2,4.5,Medium
PDD0052,Product 52,2019-12-29,156530,172183.04667825502,Feature 3,3.1,Low
PDD0053,Product 53,2020-01-05,130077,143084.83673702547,Feature 4,2.0,High
PDD0054,Product 54,2020-01-12,85920,94512.09582538262,Feature 5,1.5,High
PDD0055,Product 55,2020-01-19,69457,76402.72272614093,Feature 6,1.3,High
PDD0056,Product 56,2020-01-26,128953,141848.37479804343,Feature 7,3.9,Medium
PDD0057,Product 57,2020-02-02,102995,113294.60051021625,Feature 8,2.7,Low
PDD0058,Product 58,2020-02-09,59692,65661.14925627143,Feature 9,4.6,High
PDD0059,Product 59,2020-02-16,87065,95771.46706690018,Feature 10,4.0,Medium
PDD0060,Product 60,2020-02-23,149299,164228.8903173963,Feature 1,1.8,High
PDD0061,Product 61,2020-03-01,61534,67687.35244694559,Feature 2,3.5,Low
PDD0062,Product 62,2020-03-08,90397,99436.80156869451,Feature 3,2.7,Low
PDD0063,Product 63,2020-03-15,141387,155525.63726894584,Feature 4,3.3,Low
PDD0064,Product 64,2020-03-22,51016,56117.725165147145,Feature 5,4.0,Medium
PDD0065,Product 65,2020-03-29,105591,116150.06330268012,Feature 6,4.2,Medium
PDD0066,Product 66,2020-04-05,73247,80571.7472396643,Feature 7,4.4,Medium
PDD0067,Product 67,2020-04-12,74300,81730.01664151487,Feature 8,2.0,High
PDD0068,Product 68,2020-04-19,132798,146077.70240201917,Feature 9,1.1,High
PDD0069,Product 69,2020-04-26,59268,65194.79801102705,Feature 10,4.0,Medium
PDD0070,Product 70,2020-05-03,136807,150487.73336435316,Feature 1,1.4,High
PDD0071,Product 71,2020-05-10,62185,68403.49357073128,Feature 2,2.3,Low
PDD0072,Product 72,2020-05-17,189643,208607.16572934415,Feature 3,1.0,High
PDD0073,Product 73,2020-05-24,88044,96848.57014292436,Feature 4,3.7,Medium
PDD0074,Product 74,2020-05-31,101214,111335.40876994829,Feature 5,1.7,High
PDD0075,Product 75,2020-06-07,164752,181227.1205697425,Feature 6,3.6,Medium
PDD0076,Product 76,2020-06-14,98984,108882.56207680235,Feature 7,5.0,High
PDD0077,Product 77,2020-06-21,90774,99851.46173898099,Feature 8,1.3,High
PDD0078,Product 78,2020-06-28,52568,57824.679983000366,Feature 9,1.3,High
PDD0079,Product 79,2020-07-05,170151,187165.99555052537,Feature 10,2.4,Low
PDD0080,Product 80,2020-07-12,183767,202143.67776052802,Feature 1,4.5,Medium
PDD0081,Product 81,2020-07-19,174375,191812.52973069792,Feature 2,1.9,High
PDD0082,Product 82,2020-07-26,186330,204963.06227998316,Feature 3,2.4,Low
PDD0083,Product 83,2020-08-02,89504,98454.49501784796,Feature 4,1.3,High
PDD0084,Product 84,2020-08-09,63986,70384.65395724065,Feature 5,4.1,Medium
PDD0085,Product 85,2020-08-16,111858,123043.93467459787,Feature 6,2.6,Low
PDD0086,Product 86,2020-08-23,179312,197243.21267931597,Feature 7,4.0,Medium
PDD0087,Product 87,2020-08-30,62666,68932.52403606196,Feature 8,4.6,High
PDD0088,Product 88,2020-09-06,88660,97525.99966491305,Feature 9,1.9,High
PDD0089,Product 89,2020-09-13,184633,203096.293101934,Feature 10,4.2,Medium
PDD0090,Product 90,2020-09-20,76854,84539.14217845704,Feature 1,1.2,High
PDD0091,Product 91,2020-09-27,114505,125955.44386331411,Feature 2,4.6,High
PDD0092,Product 92,2020-10-04,154488,169936.83142037332,Feature 3,3.6,Medium
PDD0093,Product 93,2020-10-11,72662,79928.1575784435,Feature 4,4.5,Medium
PDD0094,Product 94,2020-10-18,58392,64231.135379063824,Feature 5,1.0,High
PDD0095,Product 95,2020-10-25,80535,88588.59113761959,Feature 6,1.7,High
PDD0096,Product 96,2020-11-01,163569,179925.80834541755,Feature 7,2.6,Low
PDD0097,Product 97,2020-11-08,102256,112481.67116226505,Feature 8,2.5,Low
PDD0098,Product 98,2020-11-15,139135,153048.3667255529,Feature 9,1.9,High
PDD0099,Product 99,2020-11-22,177478,195226.0760761936,Feature 10,2.5,Low
PDD0100,Product 100,2020-11-29,85222,93744.17843144732,Feature 1,1.5,High
PDD0101,Product 101,2020-12-06,127373,140110.2676734711,Feature 2,2.7,Low
PDD0102,Product 102,2020-12-13,173684,191052.5143065903,Feature 3,4.2,Medium
PDD0103,Product 103,2020-12-20,60965,67061.45812951592,Feature 4,2.9,Low
PDD0104,Product 104,2020-12-27,74538,81991.94549278084,Feature 5,1.1,High
PDD0105,Product 105,2021-01-03,158066,173872.63715938304,Feature 6,2.7,Low
PDD0106,Product 106,2021-01-10,163252,179577.18816020995,Feature 7,1.1,High
PDD0107,Product 107,2021-01-17,189182,208100.17749940968,Feature 8,4.9,High
PDD0108,Product 108,2021-01-24,148806,163686.72075921705,Feature 9,1.5,High
PDD0109,Product 109,2021-01-31,187982,206780.22304872147,Feature 10,3.8,Medium
PDD0110,Product 110,2021-02-07,160989,177087.94323087315,Feature 1,4.9,High
PDD0111,Product 111,2021-02-14,140982,155080.25410018727,Feature 2,4.3,Medium
PDD0112,Product 112,2021-02-21,171626,188788.61329361852,Feature 3,3.8,Medium
PDD0113,Product 113,2021-02-28,169176,186093.65198722263,Feature 4,4.4,Medium
PDD0114,Product 114,2021-03-07,181278,199405.78816765774,Feature 5,4.9,High
PDD0115,Product 115,2021-03-14,172409,189649.89501913683,Feature 6,3.5,Low
PDD0116,Product 116,2021-03-21,73419,80760.78808850721,Feature 7,3.2,Low
PDD0117,Product 117,2021-03-28,100015,110016.52977602511,Feature 8,3.5,Low
PDD0118,Product 118,2021-04-04,172096,189305.42804589935,Feature 9,3.1,Low
PDD0119,Product 119,2021-04-11,157059,172764.9283558071,Feature 10,3.5,Low
PDD0120,Product 120,2021-04-18,160687,176755.6719383984,Feature 1,2.8,Low
PDD0121,Product 121,2021-04-25,137939,151732.93745851098,Feature 2,1.9,High
PDD0122,Product 122,2021-05-02,199213,219134.19511716662,Feature 3,1.5,High
PDD0123,Product 123,2021-05-09,155878,171465.58806426323,Feature 4,1.3,High
PDD0124,Product 124,2021-05-16,112623,123885.2649134693,Feature 5,2.1,Low
PDD0125,Product 125,2021-05-23,125450,137994.8954087331,Feature 6,1.2,High
PDD0126,Product 126,2021-05-30,143426,157768.4219443317,Feature 7,3.3,Low
PDD0127,Product 127,2021-06-06,167845,184629.576798327,Feature 8,2.1,Low
PDD0128,Product 128,2021-06-13,93585,102943.66012382273,Feature 9,4.3,Medium
PDD0129,Product 129,2021-06-20,159225,175147.4203048564,Feature 10,1.3,High
PDD0130,Product 130,2021-06-27,114044,125448.39242291728,Feature 1,1.9,High
PDD0131,Product 131,2021-07-04,159556,175511.56922143835,Feature 2,3.9,Medium
PDD0132,Product 132,2021-07-11,52693,57962.234110157806,Feature 3,3.4,Low
PDD0133,Product 133,2021-07-18,145259,159784.9663737214,Feature 4,1.3,High
PDD0134,Product 134,2021-07-25,75939,83533.00101414605,Feature 5,4.5,Medium
PDD0135,Product 135,2021-08-01,68047,74851.61313928108,Feature 6,4.5,Medium
PDD0136,Product 136,2021-08-08,76105,83715.5044766867,Feature 7,2.3,Low
PDD0137,Product 137,2021-08-15,125766,138342.7284533034,Feature 8,2.4,Low
PDD0138,Product 138,2021-08-22,196779,216456.96890362035,Feature 9,5.0,High
PDD0139,Product 139,2021-08-29,94262,103688.28376974385,Feature 10,3.5,Low
PDD0140,Product 140,2021-09-05,175117,192628.83679853074,Feature 1,3.1,Low
PDD0141,Product 141,2021-09-12,73776,81153.73548451724,Feature 2,4.4,Medium
PDD0142,Product 142,2021-09-19,178376,196213.70286426303,Feature 3,2.1,Low
PDD0143,Product 143,2021-09-26,187848,206632.8144937415,Feature 4,2.7,Low
PDD0144,Product 144,2021-10-03,142787,157065.66175169827,Feature 5,2.1,Low
PDD0145,Product 145,2021-10-10,177948,195742.81034777654,Feature 6,4.2,Medium
PDD0146,Product 146,2021-10-17,105016,115517.5465593314,Feature 7,3.3,Low
PDD0147,Product 147,2021-10-24,190546,209600.40475131272,Feature 8,3.6,Medium
PDD0148,Product 148,2021-10-31,71959,79154.87205009343,Feature 9,2.0,High
PDD0149,Product 149,2021-11-07,186602,205262.2357526244,Feature 10,1.9,High
PDD0150,Product 150,2021-11-14,169101,186011.04127305822,Feature 1,3.0,Low
PDD0151,Product 151,2021-11-21,53748,59122.78072202128,Feature 2,4.0,Medium
PDD0152,Product 152,2021-11-28,63545,69899.4845963284,Feature 3,3.1,Low
PDD0153,Product 153,2021-12-05,177659,195425.03568567746,Feature 4,1.1,High
PDD0154,Product 154,2021-12-12,123530,135882.96405627258,Feature 5,4.5,Medium
PDD0155,Product 155,2021-12-19,143557,157912.83566333822,Feature 6,1.3,High
PDD0156,Product 156,2021-12-26,111087,122195.42875095083,Feature 7,4.8,High
PDD0157,Product 157,2022-01-02,118840,130724.13478557815,Feature 8,1.1,High
PDD0158,Product 158,2022-01-09,168451,185296.22974061148,Feature 9,3.8,Medium
PDD0159,Product 159,2022-01-16,101005,111105.59022546736,Feature 10,1.3,High
PDD0160,Product 160,2022-01-23,89353,98288.09880819968,Feature 1,4.6,High
PDD0161,Product 161,2022-01-30,102733,113006.40188869952,Feature 2,2.9,Low
PDD0162,Product 162,2022-02-06,115318,126849.79498808245,Feature 3,1.6,High
PDD0163,Product 163,2022-02-13,117172,128888.94706625602,Feature 4,2.4,Low
PDD0164,Product 164,2022-02-20,143264,157590.52981777082,Feature 5,1.7,High
PDD0165,Product 165,2022-02-27,76736,84409.74441730785,Feature 6,1.7,High
PDD0166,Product 166,2022-03-06,162859,179144.70954879283,Feature 7,4.8,High
PDD0167,Product 167,2022-03-13,162181,178399.11754210753,Feature 8,2.8,Low
PDD0168,Product 168,2022-03-20,181926,200118.73885911214,Feature 9,4.2,Medium
PDD0169,Product 169,2022-03-27,140084,154092.52301613137,Feature 10,3.6,Medium
PDD0170,Product 170,2022-04-03,57392,63131.28360610512,Feature 1,3.7,Medium
PDD0171,Product 171,2022-04-10,105680,116247.73527471203,Feature 2,1.5,High
PDD0172,Product 172,2022-04-17,100859,110944.97295427667,Feature 3,1.9,High
PDD0173,Product 173,2022-04-24,175657,193222.67818961016,Feature 4,4.1,Medium
PDD0174,Product 174,2022-05-01,120467,132513.7995857529,Feature 5,4.9,High
PDD0175,Product 175,2022-05-08,148506,163356.62561614584,Feature 6,2.1,Low
PDD0176,Product 176,2022-05-15,159751,175726.09801183897,Feature 7,2.1,Low
PDD0177,Product 177,2022-05-22,168906,185796.66409038493,Feature 8,2.9,Low
PDD0178,Product 178,2022-05-29,193760,213135.98280866293,Feature 9,4.9,High
PDD0179,Product 179,2022-06-05,75342,82876.19757227202,Feature 10,2.1,Low
PDD0180,Product 180,2022-06-12,156308,171938.7444776001,Feature 1,2.6,Low
PDD0181,Product 181,2022-06-19,156081,171688.9394591009,Feature 2,4.6,High
PDD0182,Product 182,2022-06-26,139045,152949.55678534738,Feature 3,1.0,High
PDD0183,Product 183,2022-07-03,84698,93167.71939696804,Feature 4,1.2,High
PDD0184,Product 184,2022-07-10,160078,176085.77992081342,Feature 5,3.4,Low
PDD0185,Product 185,2022-07-17,130623,143685.32869739586,Feature 6,4.6,High
PDD0186,Product 186,2022-07-24,72671,79937.89147823564,Feature 7,2.0,High
PDD0187,Product 187,2022-07-31,143384,157722.21386510966,Feature 8,2.9,Low
PDD0188,Product 188,2022-08-07,136202,149822.17002614235,Feature 9,2.8,Low
PDD0189,Product 189,2022-08-14,101663,111829.34545634824,Feature 10,2.9,Low
PDD0190,Product 190,2022-08-21,65708,72278.87440382707,Feature 1,3.5,Low
PDD0191,Product 191,2022-08-28,141906,156096.44086855042,Feature 2,2.9,Low
PDD0192,Product 192,2022-09-04,99811,109792.16366314844,Feature 3,2.8,Low
PDD0193,Product 193,2022-09-11,183883,202271.27549303818,Feature 4,2.9,Low
PDD0194,Product 194,2022-09-18,106250,116874.9116842755,Feature 5,3.4,Low
PDD0195,Product 195,2022-09-25,162547,178801.6351448144,Feature 6,3.1,Low
PDD0196,Product 196,2022-10-02,174249,191673.98018573323,Feature 7,4.4,Medium
PDD0197,Product 197,2022-10-09,84754,93229.42740057851,Feature 8,1.2,High
PDD0198,Product 198,2022-10-16,192483,211731.3050306523,Feature 9,4.3,Medium
PDD0199,Product 199,2022-10-23,183983,202381.3243495739,Feature 10,4.4,Medium
PDD0200,Product 200,2022-10-30,189752,208727.29280977766,Feature 1,2.1,Low
PDD0201,Product 201,2022-11-06,134896,148385.59029004327,Feature 2,2.9,Low
PDD0202,Product 202,2022-11-13,121295,133424.50543188865,Feature 3,2.8,Low
PDD0203,Product 203,2022-11-20,150689,165758.01381707404,Feature 4,1.9,High
PDD0204,Product 204,2022-11-27,61111,67222.06684133758,Feature 5,2.6,Low
PDD0205,Product 205,2022-12-04,87504,96254.46181405954,Feature 6,1.2,High
PDD0206,Product 206,2022-12-11,182874,201161.34962955196,Feature 7,2.1,Low
PDD0207,Product 207,2022-12-18,58155,63970.458413265864,Feature 8,4.3,Medium
PDD0208,Product 208,2022-12-25,89384,98322.38959502433,Feature 9,2.1,Low
PDD0209,Product 209,2023-01-01,162561,178817.1515272853,Feature 10,4.3,Medium
PDD0210,Product 210,2023-01-08,97254,106979.51941819626,Feature 1,3.1,Low
PDD0211,Product 211,2023-01-15,71918,79109.80965452635,Feature 2,4.5,Medium
PDD0212,Product 212,2023-01-22,135981,149578.95001630887,Feature 3,3.3,Low
PDD0213,Product 213,2023-01-29,80306,88336.66314462936,Feature 4,1.1,High
PDD0214,Product 214,2023-02-05,197718,217490.04538421743,Feature 5,3.7,Medium
PDD0215,Product 215,2023-02-12,96843,106527.31086688311,Feature 6,1.2,High
PDD0216,Product 216,2023-02-19,170975,188072.32912323612,Feature 7,2.8,Low
PDD0217,Product 217,2023-02-26,146601,161261.11696528897,Feature 8,4.7,High
PDD0218,Product 218,2023-03-05,157512,173263.19969873969,Feature 9,1.7,High
PDD0219,Product 219,2023-03-12,197443,217187.29128911567,Feature 10,2.6,Low
PDD0220,Product 220,2023-03-19,161472,177619.29454099,Feature 1,3.9,Medium
PDD0221,Product 221,2023-03-26,183121,201433.23782747865,Feature 2,4.5,Medium
PDD0222,Product 222,2023-04-02,153727,169099.76835857454,Feature 3,3.7,Medium
PDD0223,Product 223,2023-04-09,162893,179182.28669419154,Feature 4,2.0,High
PDD0224,Product 224,2023-04-16,70932,78025.31256787844,Feature 5,3.7,Medium
PDD0225,Product 225,2023-04-23,167796,184575.45061703588,Feature 6,2.2,Low
PDD0226,Product 226,2023-04-30,79855,87840.42839438793,Feature 7,3.9,Medium
PDD0227,Product 227,2023-05-07,57400,63139.93953722215,Feature 8,4.8,High
PDD0228,Product 228,2023-05-14,167858,184643.7969049352,Feature 9,3.9,Medium
PDD0229,Product 229,2023-05-21,65151,71666.15067346625,Feature 10,4.5,Medium
PDD0230,Product 230,2023-05-28,116690,128358.97992870519,Feature 1,1.0,High
PDD0231,Product 231,2023-06-04,54499,59948.809396420555,Feature 2,3.9,Medium
PDD0232,Product 232,2023-06-11,56295,61924.59748502848,Feature 3,4.3,Medium
PDD0233,Product 233,2023-06-18,170885,187973.4764543278,Feature 4,1.2,High
PDD0234,Product 234,2023-06-25,176071,193678.1102128921,Feature 5,4.5,Medium
PDD0235,Product 235,2023-07-02,109040,119944.05510677457,Feature 6,2.0,High
PDD0236,Product 236,2023-07-09,62183,68401.30388776079,Feature 7,3.7,Medium
PDD0237,Product 237,2023-07-16,193946,213340.60432716948,Feature 8,4.2,Medium
PDD0238,Product 238,2023-07-23,166336,182969.70304734205,Feature 9,3.7,Medium
PDD0239,Product 239,2023-07-30,82711,90982.11513694747,Feature 10,1.4,High
PDD0240,Product 240,2023-08-06,55539,61092.98627969858,Feature 1,3.4,Low
PDD0241,Product 241,2023-08-13,176063,193669.35446674444,Feature 2,3.2,Low
PDD0242,Product 242,2023-08-20,183629,201992.10168875445,Feature 3,4.6,High
PDD0243,Product 243,2023-08-27,88360,97196.0409413418,Feature 4,2.6,Low
PDD0244,Product 244,2023-09-03,183272,201599.26379732703,Feature 5,2.3,Low
PDD0245,Product 245,2023-09-10,71357,78492.81016567141,Feature 6,4.0,Medium
PDD0246,Product 246,2023-09-17,169121,186033.106361776,Feature 7,2.7,Low
PDD0247,Product 247,2023-09-24,127505,140255.43621469033,Feature 8,3.6,Medium
PDD0248,Product 248,2023-10-01,52869,58155.85258544189,Feature 9,3.6,Medium
PDD0249,Product 249,2023-10-08,100108,110118.75354930745,Feature 10,4.6,High
PDD0250,Product 250,2023-10-15,162296,178525.5049669032,Feature 1,3.4,Low
PDD0251,Product 251,2023-10-22,144179,158596.93178051696,Feature 2,3.0,Low
PDD0252,Product 252,2023-10-29,140272,154299.1370483452,Feature 3,1.6,High
PDD0253,Product 253,2023-11-05,88467,97313.71948528213,Feature 4,1.5,High
PDD0254,Product 254,2023-11-12,73328,80660.78413255564,Feature 5,1.6,High
PDD0255,Product 255,2023-11-19,141412,155553.19583785068,Feature 6,1.7,High
PDD0256,Product 256,2023-11-26,185059,203564.9556056648,Feature 7,3.6,Medium
PDD0257,Product 257,2023-12-03,108871,119758.04581008757,Feature 8,4.0,Medium
PDD0258,Product 258,2023-12-10,178391,196230.1638891046,Feature 9,3.1,Low
PDD0259,Product 259,2023-12-17,136416,150057.75673078667,Feature 10,4.3,Medium
PDD0260,Product 260,2023-12-24,120271,132298.1343109083,Feature 1,5.0,High
PDD0261,Product 261,2023-12-31,94064,103470.32179043148,Feature 2,4.3,Medium
PDD0262,Product 262,2024-01-07,157450,173194.93849819887,Feature 3,3.8,Medium
PDD0263,Product 263,2024-01-14,69830,76812.97517370993,Feature 4,3.1,Low
PDD0264,Product 264,2024-01-21,198501,218351.0405109703,Feature 5,2.8,Low
PDD0265,Product 265,2024-01-28,187965,206761.40088196908,Feature 6,1.3,High
PDD0266,Product 266,2024-02-04,166381,183019.1154407277,Feature 7,2.6,Low
PDD0267,Product 267,2024-02-11,97333,107066.27788026683,Feature 8,4.6,High
PDD0268,Product 268,2024-02-18,184508,202958.81897208837,Feature 9,4.2,Medium
PDD0269,Product 269,2024-02-25,126213,138834.41863874125,Feature 10,1.9,High
PDD0270,Product 270,2024-03-03,186967,205663.6763647166,Feature 1,2.9,Low
PDD0271,Product 271,2024-03-10,80746,88820.48145799954,Feature 2,4.3,Medium
PDD0272,Product 272,2024-03-17,99377,109314.66011075079,Feature 3,1.3,High
PDD0273,Product 273,2024-03-24,104045,114449.57704252172,Feature 4,2.5,Low
PDD0274,Product 274,2024-03-31,147888,162676.8676770271,Feature 5,4.4,Medium
PDD0275,Product 275,2024-04-07,157455,173200.55186396476,Feature 6,2.6,Low
PDD0276,Product 276,2024-04-14,186672,205339.1375293277,Feature 7,1.3,High
PDD0277,Product 277,2024-04-21,143179,157496.97519026182,Feature 8,3.2,Low
PDD0278,Product 278,2024-04-28,95714,105285.49768990782,Feature 9,4.4,Medium
PDD0279,Product 279,2024-05-05,152946,168240.530457837,Feature 10,3.4,Low
PDD0280,Product 280,2024-05-12,159616,175577.59584299024,Feature 1,1.9,High
PDD0281,Product 281,2024-05-19,155983,171581.50204019638,Feature 2,2.5,Low
PDD0282,Product 282,2024-05-26,174123,191535.22601257238,Feature 3,2.8,Low
PDD0283,Product 283,2024-06-02,199661,219626.92949133308,Feature 4,3.3,Low
PDD0284,Product 284,2024-06-09,93484,102832.53829044345,Feature 5,4.0,Medium
PDD0285,Product 285,2024-06-16,132989,146288.01366047718,Feature 6,1.4,High
PDD0286,Product 286,2024-06-23,86212,94833.15430326766,Feature 7,4.6,High
PDD0287,Product 287,2024-06-30,93525,102877.48870082182,Feature 8,1.0,High
PDD0288,Product 288,2024-07-07,113208,124528.67750649499,Feature 9,2.5,Low
PDD0289,Product 289,2024-07-14,83828,92210.80889522727,Feature 10,1.1,High
PDD0290,Product 290,2024-07-21,199783,219761.41659137156,Feature 1,2.6,Low
PDD0291,Product 291,2024-07-28,53420,58761.94573951583,Feature 2,3.1,Low
PDD0292,Product 292,2024-08-04,146752,161427.28771019788,Feature 3,3.0,Low
PDD0293,Product 293,2024-08-11,181373,199510.34637238574,Feature 4,1.7,High
PDD0294,Product 294,2024-08-18,165294,181823.45778168913,Feature 5,3.6,Medium
PDD0295,Product 295,2024-08-25,174019,191420.85156908198,Feature 6,1.2,High
PDD0296,Product 296,2024-09-01,115726,127298.56453758171,Feature 7,4.0,Medium
PDD0297,Product 297,2024-09-08,191564,210720.2153227566,Feature 8,4.8,High
PDD0298,Product 298,2024-09-15,165668,182234.74333305878,Feature 9,2.4,Low
PDD0299,Product 299,2024-09-22,56102,61712.316348545806,Feature 10,3.1,Low
PDD0300,Product 300,2024-09-29,168015,184816.4070667806,Feature 1,2.5,Low
PDD0301,Product 301,2024-10-06,76641,84305.02196983462,Feature 2,1.0,High
PDD0302,Product 302,2024-10-13,153746,169120.66401898238,Feature 3,2.5,Low
PDD0303,Product 303,2024-10-20,86631,95294.1402768292,Feature 4,4.2,Medium
PDD0304,Product 304,2024-10-27,122991,135290.16898632498,Feature 5,3.4,Low
PDD0305,Product 305,2024-11-03,54014,59415.28367794599,Feature 6,1.4,High
PDD0306,Product 306,2024-11-10,61093,67202.55640579494,Feature 7,4.4,Medium
PDD0307,Product 307,2024-11-17,68070,74876.87842466259,Feature 8,3.1,Low
PDD0308,Product 308,2024-11-24,85777,94354.71542473139,Feature 9,4.4,Medium
PDD0309,Product 309,2024-12-01,106958,117653.78413445041,Feature 10,3.3,Low
PDD0310,Product 310,2024-12-08,132074,145281.2813358483,Feature 1,3.2,Low
PDD0311,Product 311,2024-12-15,60729,66801.86297905773,Feature 2,1.4,High
PDD0312,Product 312,2024-12-22,155864,171450.40233076012,Feature 3,1.7,High
PDD0313,Product 313,2024-12-29,180858,198943.73500267882,Feature 4,4.9,High
PDD0314,Product 314,2025-01-05,155510,171061.09372236216,Feature 5,1.9,High
PDD0315,Product 315,2025-01-12,104748,115222.78383742545,Feature 6,4.9,High
PDD0316,Product 316,2025-01-19,55801,61380.965872532906,Feature 7,3.1,Low
PDD0317,Product 317,2025-01-26,79592,87551.05738744675,Feature 8,1.5,High
PDD0318,Product 318,2025-02-02,60647,66711.76061650907,Feature 9,1.4,High
PDD0319,Product 319,2025-02-09,189788,208766.65132292174,Feature 10,1.8,High
PDD0320,Product 320,2025-02-16,160627,176689.7316426073,Feature 1,4.7,High
PDD0321,Product 321,2025-02-23,120316,132347.64446551856,Feature 2,2.7,Low
PDD0322,Product 322,2025-03-02,52368,57604.70046446361,Feature 3,2.6,Low
PDD0323,Product 323,2025-03-09,127575,140332.58907380837,Feature 4,2.3,Low
PDD0324,Product 324,2025-03-16,56655,62320.32822063763,Feature 5,1.6,High
PDD0325,Product 325,2025-03-23,120031,132034.1296458934,Feature 6,3.0,Low
PDD0326,Product 326,2025-03-30,137922,151714.19591420665,Feature 7,1.5,High
PDD0327,Product 327,2025-04-06,174046,191450.58810020244,Feature 8,4.3,Medium
PDD0328,Product 328,2025-04-13,194475,213922.38221033572,Feature 9,2.5,Low
PDD0329,Product 329,2025-04-20,82097,90306.60629779958,Feature 10,2.5,Low
PDD0330,Product 330,2025-04-27,192038,211241.96188020252,Feature 1,2.9,Low
PDD0331,Product 331,2025-05-04,174862,192348.3215155009,Feature 2,2.8,Low
