Employee ID,Skill Set,Experience Level,Availability (%),Job Role,Salary (USD),Performance Score,Assigned Product ID,Development Timeline (Months),Task Completion Time (Days),Tool and Software Usage,Team Communication Metrics
EMP0088,Market Analysis,Junior,93,Designer,144092,4.2,PDD0438,3,4.543362187050149,GitHub,4.2
EMP0089,Product Design,Junior,97,Analyst,78635,2.6,PDD0423,11,16.625371564824242,GitHub,2.4
EMP0090,Software Development,Mid,92,Project Manager,106121,4.4,PDD0316,4,6.055359472943576,Slack,4.3
EMP0091,Project Management,Junior,88,Analyst,66407,1.6,PDD0381,6,9.089286109799525,Slack,1.5
EMP0092,Data Analysis,Mid,74,Project Manager,119554,3.3,PDD0046,7,10.490457417802618,Slack,3.2
EMP0093,Data Analysis,Junior,65,Project Manager,81756,3.1,PDD0445,7,10.45348560853691,Slack,3.1
EMP0094,Software Development,Senior,91,Developer,147175,1.4,PDD0430,2,2.9960473350498384,Jira,1.5
EMP0095,Market Analysis,Mid,71,Project Manager,111104,2.0,PDD0918,3,4.5859906115144184,GitHub,1.9
EMP0096,Software Development,Senior,99,Analyst,122081,2.9,PDD0338,1,1.552643197822478,GitHub,3.0
EMP0097,Market Analysis,Senior,65,Analyst,92169,4.1,PDD0465,1,1.4289359839735796,Slack,4.1
EMP0098,Product Design,Senior,82,Developer,89838,4.6,PDD0577,6,8.892550522188182,Jira,4.5
EMP0099,Market Analysis,Junior,54,Designer,73030,3.9,PDD0652,4,6.0662377458684285,Slack,3.9
EMP0100,Product Design,Senior,56,Project Manager,141297,2.2,PDD0087,11,16.674943697936477,GitHub,2.2
EMP0101,Project Management,Senior,67,Project Manager,107183,1.4,PDD0776,10,14.994319818404207,Jira,1.5
EMP0102,Project Management,Senior,55,Developer,108825,3.1,PDD0353,11,16.599216251202716,Jira,3.3
EMP0103,Software Development,Mid,98,Developer,113518,2.4,PDD0268,4,5.880772675852036,Slack,2.6
EMP0104,Software Development,Junior,61,Developer,85682,3.3,PDD0593,9,13.590036960289384,GitHub,3.1
EMP0105,Project Management,Senior,93,Project Manager,59294,2.6,PDD0222,8,11.980914268898145,Jira,2.6
EMP0106,Data Analysis,Junior,82,Analyst,106602,2.5,PDD0359,3,4.562948514406574,Jira,2.4
EMP0107,Product Design,Mid,83,Designer,95242,4.6,PDD0235,3,4.724279325113392,GitHub,4.7
EMP0108,Project Management,Junior,70,Analyst,57542,3.7,PDD0077,8,12.076113913989177,Jira,3.8
EMP0109,Data Analysis,Senior,67,Developer,74960,3.7,PDD0444,2,2.9163662082976787,Jira,3.8
EMP0110,Market Analysis,Junior,63,Project Manager,110099,1.5,PDD0405,10,14.887855904158194,Slack,1.5
EMP0111,Project Management,Junior,91,Analyst,122086,2.6,PDD0125,5,7.323348371767299,Jira,2.5
EMP0112,Data Analysis,Junior,79,Designer,59981,4.1,PDD0777,6,9.001870185809844,Jira,4.2
EMP0113,Project Management,Junior,95,Developer,126641,3.3,PDD0511,5,7.415969387225936,GitHub,3.2
EMP0114,Market Analysis,Junior,52,Designer,87683,2.8,PDD0631,1,1.3246923409732827,GitHub,2.7
EMP0115,Market Analysis,Mid,62,Project Manager,116488,4.9,PDD0796,5,7.620382329581874,GitHub,4.7
EMP0116,Product Design,Senior,86,Developer,116134,1.5,PDD0967,9,13.51658196454411,Jira,1.5
EMP0117,Market Analysis,Junior,68,Developer,86786,1.6,PDD0210,11,16.534445949871042,Jira,1.7
EMP0118,Market Analysis,Junior,86,Developer,133922,3.3,PDD0498,10,14.901634533814851,Slack,3.2
EMP0119,Product Design,Senior,62,Designer,134090,2.6,PDD0509,2,3.0884003587981255,GitHub,2.7
EMP0120,Project Management,Senior,64,Project Manager,76067,2.9,PDD0170,11,16.464375670984147,Slack,2.8
EMP0121,Project Management,Senior,75,Developer,65550,3.2,PDD0801,3,4.4090985904378615,GitHub,3.1
EMP0122,Product Design,Senior,55,Analyst,109603,1.5,PDD0302,6,9.041296843303275,GitHub,1.3
EMP0123,Project Management,Junior,76,Developer,82476,2.1,PDD0832,3,4.453892318125779,Slack,2.2
EMP0124,Project Management,Senior,61,Developer,56988,3.1,PDD0407,6,9.143043573829502,GitHub,3.0
EMP0125,Data Analysis,Mid,97,Developer,124011,1.8,PDD0437,7,10.52091305713728,GitHub,1.8
EMP0126,Product Design,Junior,74,Analyst,109671,4.4,PDD0577,3,4.29125493627205,GitHub,4.4
EMP0127,Product Design,Mid,99,Analyst,138829,4.1,PDD0823,4,6.053938267724724,Jira,4.1
EMP0128,Software Development,Senior,96,Project Manager,98405,3.3,PDD0423,6,9.267767951624576,GitHub,3.3
EMP0129,Data Analysis,Mid,65,Designer,72997,3.0,PDD0192,1,1.4105153270719315,Jira,3.1
EMP0130,Project Management,Junior,95,Developer,118775,4.7,PDD0634,1,1.3429925738190613,GitHub,4.8
EMP0131,Software Development,Junior,65,Designer,53274,4.0,PDD0723,5,7.689584672383091,GitHub,3.9
EMP0132,Data Analysis,Junior,52,Designer,96983,1.2,PDD0403,8,11.921132153757325,Jira,1.1
EMP0133,Project Management,Junior,83,Developer,139183,1.9,PDD0004,1,1.5140803184083163,Slack,2.1
EMP0134,Data Analysis,Mid,73,Developer,52775,1.3,PDD0007,1,1.367539550875301,Jira,1.3
EMP0135,Market Analysis,Junior,91,Analyst,148059,5.0,PDD0413,1,1.4233114609356292,Jira,5.0
EMP0136,Project Management,Junior,95,Project Manager,87479,2.7,PDD0624,10,14.964677263296815,Jira,2.6
EMP0137,Data Analysis,Junior,72,Analyst,61924,1.5,PDD0487,1,1.5300310104952337,Jira,1.4
EMP0138,Data Analysis,Senior,79,Designer,86223,2.4,PDD0843,9,13.405313601244616,Slack,2.3
EMP0139,Software Development,Mid,98,Developer,130550,4.9,PDD0605,2,3.014039617913896,Jira,4.9
EMP0140,Data Analysis,Senior,70,Designer,79804,1.6,PDD0253,6,8.899226317975446,Slack,1.6
EMP0141,Market Analysis,Junior,66,Analyst,126605,2.4,PDD0776,11,16.53138082561563,GitHub,2.6
EMP0142,Market Analysis,Senior,67,Designer,143521,2.1,PDD0301,2,2.9734835383698313,Jira,2.1
EMP0143,Data Analysis,Junior,52,Developer,62265,4.2,PDD0457,5,7.486689106508812,GitHub,4.1
EMP0144,Project Management,Senior,96,Project Manager,149385,1.1,PDD0261,5,7.446948958844356,GitHub,1.1
EMP0145,Software Development,Junior,61,Designer,87821,4.8,PDD0991,11,16.57867033220918,Slack,4.7
EMP0146,Project Management,Junior,65,Project Manager,96277,4.5,PDD0575,11,16.582571975850556,GitHub,4.3
EMP0147,Data Analysis,Junior,87,Designer,88572,2.5,PDD0330,9,13.46610621746179,Jira,2.5
EMP0148,Market Analysis,Senior,63,Developer,89246,4.6,PDD0171,4,5.960300707674066,Slack,4.5
EMP0149,Product Design,Junior,76,Developer,122684,2.7,PDD0600,6,9.19079912524064,Jira,2.8
EMP0150,Software Development,Senior,67,Project Manager,132702,2.2,PDD0145,4,6.04797303609637,GitHub,2.2
EMP0151,Project Management,Junior,69,Developer,149645,2.6,PDD0239,11,16.56573858352343,GitHub,2.6
EMP0152,Market Analysis,Mid,84,Project Manager,108533,4.3,PDD0843,6,9.137577733012982,Jira,4.3
EMP0153,Project Management,Junior,66,Analyst,71490,3.2,PDD0546,3,4.469282773411421,GitHub,3.3
EMP0154,Data Analysis,Mid,69,Project Manager,109967,1.9,PDD0856,4,6.144652124913734,Jira,2.1
EMP0155,Project Management,Junior,55,Designer,148923,1.3,PDD0776,9,13.306189250108025,GitHub,1.2
EMP0156,Software Development,Junior,75,Project Manager,131276,3.4,PDD0249,1,1.6759320882986182,Jira,3.4
EMP0157,Product Design,Junior,56,Project Manager,123331,4.3,PDD0428,7,10.433515269606595,GitHub,4.4
EMP0158,Product Design,Junior,87,Designer,129603,4.4,PDD0487,3,4.553350316465329,Slack,4.6
EMP0159,Data Analysis,Junior,61,Developer,116903,4.3,PDD0408,9,13.568184727804486,Slack,4.4
EMP0160,Software Development,Senior,66,Developer,59926,3.1,PDD0130,7,10.449880321112053,GitHub,3.1
EMP0161,Product Design,Senior,70,Analyst,147160,2.5,PDD0904,11,16.59934947389887,Jira,2.5
EMP0162,Market Analysis,Senior,55,Developer,132634,4.9,PDD0799,2,3.0905716763350166,Jira,4.8
EMP0163,Project Management,Mid,96,Analyst,64287,4.7,PDD0111,11,16.49635187719665,Jira,4.6
EMP0164,Data Analysis,Junior,86,Analyst,132886,4.0,PDD0300,5,7.406218692467833,Jira,4.0
EMP0165,Market Analysis,Junior,74,Analyst,130461,2.7,PDD0931,1,1.6451266682341203,GitHub,2.7
EMP0166,Data Analysis,Junior,64,Developer,62224,4.9,PDD0570,1,1.5333572894457212,GitHub,4.9
EMP0167,Software Development,Mid,60,Designer,146048,2.5,PDD0768,7,10.62234418778225,Slack,2.5
EMP0168,Data Analysis,Mid,58,Developer,94261,3.7,PDD0004,7,10.266283816356784,GitHub,3.7
EMP0169,Product Design,Mid,53,Designer,56945,2.2,PDD0716,11,16.564327997452928,Slack,2.3
EMP0170,Software Development,Mid,52,Developer,128329,4.3,PDD0119,8,11.949318528979981,GitHub,4.4
EMP0171,Data Analysis,Senior,62,Analyst,119832,4.4,PDD0359,8,11.99257367478935,GitHub,4.2
EMP0172,Market Analysis,Mid,81,Designer,57163,3.0,PDD0080,7,10.585765372026545,GitHub,3.0
EMP0173,Software Development,Mid,55,Developer,128867,3.2,PDD0022,3,4.311585056894032,Slack,3.2
EMP0174,Software Development,Mid,50,Developer,85571,4.8,PDD0209,3,4.431155375131606,Slack,5.0
EMP0175,Data Analysis,Mid,91,Project Manager,64181,1.6,PDD0985,2,3.0383203711584263,GitHub,1.6
EMP0176,Data Analysis,Senior,54,Designer,107054,2.9,PDD0499,1,1.3325996748576294,GitHub,3.0
EMP0177,Software Development,Junior,51,Analyst,99620,3.1,PDD0186,8,12.031958917877926,Jira,2.9
EMP0178,Project Management,Mid,71,Analyst,98332,4.3,PDD0783,6,8.881482007440333,Slack,4.3
EMP0179,Project Management,Senior,81,Designer,126846,4.1,PDD0660,5,7.680802929605873,Slack,4.2
EMP0180,Product Design,Senior,97,Developer,95080,3.4,PDD0287,1,1.5571274164031061,GitHub,3.5
EMP0181,Software Development,Senior,90,Analyst,94645,1.6,PDD0242,5,7.573481462062768,Slack,1.8
EMP0182,Project Management,Junior,99,Developer,51340,2.6,PDD0325,10,14.90021390788589,GitHub,2.7
EMP0183,Market Analysis,Mid,98,Project Manager,78339,1.4,PDD0734,8,12.002539336781776,Jira,1.5
EMP0184,Software Development,Junior,56,Analyst,90054,1.6,PDD0182,8,11.964368969740995,GitHub,1.6
EMP0185,Project Management,Senior,70,Developer,125743,1.9,PDD0699,10,15.048380322062393,GitHub,1.9
EMP0186,Data Analysis,Junior,66,Analyst,70687,2.3,PDD0758,6,9.073072757354986,Jira,2.4
EMP0187,Market Analysis,Senior,69,Developer,83780,2.8,PDD0254,2,2.9885363151536493,GitHub,2.9
EMP0188,Product Design,Senior,50,Project Manager,101219,3.9,PDD0219,2,3.0114369075251948,Slack,3.9
EMP0189,Project Management,Mid,81,Project Manager,140069,1.1,PDD0430,2,2.9747254689828972,GitHub,1.1
EMP0190,Data Analysis,Senior,89,Project Manager,61881,4.5,PDD0398,8,12.178904703121365,Slack,4.5
EMP0191,Market Analysis,Junior,81,Developer,52732,5.0,PDD0977,8,11.888040344861556,Jira,5.0
EMP0192,Market Analysis,Junior,69,Analyst,113524,4.9,PDD0990,8,11.862738266422621,Slack,4.9
EMP0193,Product Design,Senior,59,Analyst,103390,2.7,PDD0878,1,1.530534147352193,GitHub,2.6
EMP0194,Data Analysis,Mid,55,Developer,57304,2.6,PDD0132,9,13.438287848156467,Jira,2.7
EMP0195,Project Management,Junior,90,Project Manager,101371,3.1,PDD0490,10,14.898127303274517,Jira,3.3
EMP0196,Software Development,Mid,82,Project Manager,122235,3.7,PDD0196,4,6.038680068564643,Slack,3.6
EMP0197,Market Analysis,Mid,59,Designer,119239,2.1,PDD0579,9,13.392480141186322,Slack,2.3
EMP0198,Project Management,Mid,74,Developer,83621,3.6,PDD0263,7,10.512839528414059,Slack,3.6
EMP0199,Software Development,Mid,73,Project Manager,99547,2.2,PDD0884,3,4.477413409966469,Jira,2.1
EMP0200,Project Management,Senior,80,Designer,85738,3.6,PDD0295,10,14.990752193388275,Slack,3.6
EMP0201,Project Management,Senior,78,Project Manager,59106,3.6,PDD0739,10,14.91137104383067,GitHub,3.6
EMP0202,Market Analysis,Senior,61,Analyst,128025,1.0,PDD0845,3,4.409106327454535,Jira,1.0
EMP0203,Market Analysis,Mid,92,Designer,117554,4.5,PDD0292,2,2.9678350567024223,GitHub,4.5
EMP0204,Project Management,Junior,86,Developer,106255,1.8,PDD0051,7,10.661802719584628,Slack,1.6
EMP0205,Project Management,Junior,91,Analyst,134843,5.0,PDD0292,8,11.845368813641143,Slack,5.0
EMP0206,Product Design,Senior,99,Analyst,98011,3.2,PDD0111,1,1.5451210862983213,Slack,3.4
EMP0207,Software Development,Junior,58,Designer,118657,2.5,PDD0732,7,10.383549407930214,Slack,2.3
EMP0208,Data Analysis,Senior,78,Analyst,91724,1.4,PDD0500,2,3.015810524547308,Jira,1.4
EMP0209,Data Analysis,Mid,52,Designer,94871,3.7,PDD0288,7,10.500838268420992,GitHub,3.6
EMP0210,Product Design,Senior,53,Developer,58038,2.4,PDD0748,6,9.0243162472474,Slack,2.3
EMP0211,Project Management,Junior,70,Project Manager,146594,4.9,PDD0206,9,13.672287704010381,Slack,5.0
EMP0212,Project Management,Senior,55,Analyst,149672,4.4,PDD0420,7,10.591074914853493,Jira,4.6
EMP0213,Product Design,Senior,51,Developer,114759,1.5,PDD0675,9,13.492798400154346,Slack,1.5
EMP0214,Data Analysis,Junior,86,Project Manager,53593,2.8,PDD0635,5,7.647764576458238,Jira,2.9
EMP0215,Market Analysis,Senior,69,Designer,90559,2.8,PDD0358,6,8.904329339409994,GitHub,2.6
EMP0216,Market Analysis,Senior,94,Designer,101441,3.8,PDD0128,6,8.884399076061792,GitHub,3.7
EMP0217,Project Management,Junior,82,Developer,68876,2.1,PDD0303,3,4.671920022994695,Jira,2.0
EMP0218,Software Development,Senior,63,Project Manager,130348,4.3,PDD0316,3,4.514295562708795,GitHub,4.4
EMP0219,Data Analysis,Mid,69,Designer,130245,4.8,PDD0965,1,1.5745730756064922,Slack,4.9
EMP0220,Software Development,Senior,92,Project Manager,88448,3.2,PDD0512,4,5.896148583573915,GitHub,3.3
EMP0221,Project Management,Junior,51,Designer,117632,4.7,PDD0390,3,4.439886458166233,Jira,4.7
EMP0222,Data Analysis,Mid,96,Project Manager,75593,2.3,PDD0908,7,10.656529591328692,GitHub,2.2
EMP0223,Market Analysis,Mid,56,Developer,123035,2.3,PDD0935,6,8.803794904608605,GitHub,2.2
EMP0224,Market Analysis,Junior,86,Developer,117104,3.9,PDD0116,9,13.526421531129131,GitHub,4.1
EMP0225,Software Development,Junior,61,Analyst,67229,2.8,PDD0190,10,15.126367236721515,Jira,2.7
EMP0226,Data Analysis,Senior,98,Analyst,114790,2.1,PDD0363,3,4.32304525917308,GitHub,2.0
EMP0227,Project Management,Mid,65,Developer,113472,2.2,PDD0505,6,9.001788578464234,GitHub,2.2
EMP0228,Product Design,Mid,66,Analyst,87044,4.3,PDD0177,9,13.273138125973874,Slack,4.4
EMP0229,Product Design,Mid,80,Designer,78964,3.6,PDD0012,10,14.981870944507785,GitHub,3.8
EMP0230,Product Design,Junior,56,Analyst,133164,4.2,PDD0584,3,4.528842933727663,Slack,4.2
EMP0231,Project Management,Senior,75,Analyst,112947,2.7,PDD0621,9,13.523512425784006,GitHub,2.7
EMP0232,Product Design,Junior,50,Project Manager,87505,4.8,PDD0850,3,4.605613492250284,GitHub,4.8
EMP0233,Software Development,Mid,51,Designer,50915,4.6,PDD0371,1,1.5171207372373667,Jira,4.6
EMP0234,Market Analysis,Senior,80,Developer,139092,1.1,PDD0658,11,16.520323007959533,Slack,1.1
EMP0235,Product Design,Senior,69,Designer,132394,2.5,PDD0842,3,4.542121206811294,Slack,2.5
EMP0236,Market Analysis,Junior,86,Project Manager,74401,1.3,PDD0198,5,7.4656512014138245,GitHub,1.5
EMP0237,Software Development,Mid,82,Analyst,129564,2.0,PDD0773,8,12.004821660695692,Slack,1.9
EMP0238,Data Analysis,Mid,62,Designer,55589,4.7,PDD0109,1,1.3732820768397076,Jira,4.6
EMP0239,Data Analysis,Mid,50,Project Manager,71708,4.6,PDD0087,4,6.359199914737321,GitHub,4.6
EMP0240,Project Management,Senior,82,Developer,88667,1.2,PDD0089,10,15.044946428148615,GitHub,1.1
EMP0241,Market Analysis,Mid,52,Analyst,91401,1.1,PDD0775,8,11.928901178871863,Slack,1.2
EMP0242,Project Management,Junior,86,Project Manager,131891,3.6,PDD0811,11,16.652601519261605,GitHub,3.6
EMP0243,Product Design,Senior,68,Project Manager,123670,1.9,PDD0889,6,9.203268075441638,Jira,2.0
EMP0244,Project Management,Junior,93,Project Manager,112021,1.0,PDD0301,4,5.944582465149438,GitHub,1.0
EMP0245,Software Development,Senior,89,Developer,81783,4.3,PDD0709,3,4.436727921641786,GitHub,4.1
EMP0246,Project Management,Junior,81,Developer,134324,2.5,PDD0799,1,1.6847178416057598,Slack,2.5
EMP0247,Product Design,Mid,54,Project Manager,79829,2.7,PDD0382,10,14.891490223755458,GitHub,2.7
EMP0248,Product Design,Senior,96,Designer,112554,1.4,PDD0659,8,12.051589118752844,GitHub,1.5
EMP0249,Software Development,Junior,92,Developer,96328,2.9,PDD0627,2,2.973275291748796,GitHub,2.9
EMP0250,Market Analysis,Senior,96,Designer,68770,4.1,PDD0484,7,10.597703420187527,Slack,4.1
EMP0251,Data Analysis,Senior,86,Designer,127768,2.2,PDD0556,3,4.571840804697288,Jira,2.3
EMP0252,Software Development,Mid,55,Project Manager,55425,4.3,PDD0114,5,7.522481447645088,Slack,4.3
EMP0253,Data Analysis,Senior,85,Project Manager,63824,3.6,PDD0291,6,9.035737303082172,Jira,3.6
EMP0254,Software Development,Junior,86,Analyst,146941,2.7,PDD0683,3,4.4050993513740835,GitHub,2.6
EMP0255,Software Development,Senior,62,Developer,51161,3.0,PDD0249,6,9.004711490743878,Slack,3.0
